Name,Team,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,xFIP,WAR
Logan Webb,SFG,34,34,207.0,9.74,2.0,0.61,0.346,74.3,3.22,2.6,2.78,5.5
Garrett Crochet,BOS,32,32,205.1,11.18,2.02,1.05,0.29,84.3,2.59,2.89,2.64,5.8
Cristopher Sánchez,PHI,32,32,202.0,9.45,1.96,0.53,0.298,79.8,2.5,2.55,2.77,6.4
Tarik Skubal,DET,31,31,195.1,11.1,1.52,0.83,0.273,80.6,2.21,2.45,2.66,6.6
Carlos Rodón,NYY,33,33,195.1,9.35,3.36,1.01,0.228,76.4,3.09,3.78,3.89,3.2
Max Fried,NYY,32,32,195.1,8.71,2.35,0.65,0.279,74.0,2.86,3.07,3.41,4.8
Kevin Gausman,TOR,32,32,193.0,8.81,2.33,0.98,0.262,72.2,3.59,3.41,3.77,4.1
Zac Gallen,ARI,33,33,192.0,8.2,3.09,1.45,0.27,67.6,4.83,4.5,4.12,1.1
Framber Valdez,HOU,31,31,192.0,8.77,3.19,0.7,0.297,72.9,3.66,3.37,3.34,4.0
Paul Skenes,PIT,32,32,187.2,10.36,2.01,0.53,0.273,82.4,1.97,2.36,3.03,6.5
Bryan Woo,SEA,30,30,186.2,9.55,1.74,1.25,0.238,80.4,2.94,3.47,3.33,3.6
Zack Littell,2 Tms,32,32,186.2,6.27,1.54,1.74,0.249,81.2,3.81,4.88,4.35,1.5
Hunter Brown,HOU,31,31,185.1,10.0,2.77,0.83,0.262,82.0,2.43,3.14,3.19,4.6
Merrill Kelly,2 Tms,32,32,184.0,8.17,2.35,1.13,0.264,73.2,3.52,3.76,3.81,3.1
Jesús Luzardo,PHI,32,32,183.2,10.58,2.79,0.78,0.324,69.4,3.92,2.9,3.25,5.3
Tanner Bibee,CLE,31,31,182.1,8.0,2.67,1.33,0.281,71.9,4.24,4.34,4.17,1.9
Robbie Ray,SFG,32,32,182.1,9.18,3.6,1.09,0.268,74.2,3.65,3.93,4.29,2.2
Nick Pivetta,SDP,31,31,181.2,9.41,2.48,1.09,0.235,78.7,2.87,3.49,3.85,3.7
